Loyalty Number,Country,Province,City,Gender,Education,Salary,Salary_College,Marital Status,Loyalty Card,CLV,Enrollment Year,Enrollment Month,Cancelled
480934,Canada,Ontario,Toronto,Female,Bachelor,83236.0,0,Married,Star,3839.14,2016,2,0
549612,Canada,Alberta,Edmonton,Male,College,,1,Divorced,Star,3839.61,2016,3,0
429460,Canada,British Columbia,Vancouver,Male,College,,1,Single,Star,3839.75,2014,7,1
608370,Canada,Ontario,Toronto,Male,College,,1,Single,Star,3839.75,2013,2,0
530508,Canada,Quebec,Hull,Male,Bachelor,103495.0,0,Married,Star,3842.79,2014,10,0
193662,Canada,Yukon,Whitehorse,Male,Bachelor,51124.0,0,Married,Star,3844.57,2012,5,0
927943,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3857.95,2014,6,0
188893,Canada,Ontario,Trenton,Male,Bachelor,100159.0,0,Married,Star,3861.49,2016,12,0
852392,Canada,Quebec,Montreal,Female,Bachelor,100159.0,0,Married,Star,3861.49,2015,5,0
866307,Canada,Ontario,Toronto,Male,Bachelor,100159.0,0,Married,Star,3861.49,2016,10,0
932823,Canada,British Columbia,Vancouver,Female,Bachelor,66444.0,0,Married,Star,3863.31,2015,3,0
144514,Canada,British Columbia,Dawson Creek,Female,Bachelor,49618.0,0,Married,Star,3864.78,2016,6,0
611765,Canada,Quebec,Quebec City,Male,Bachelor,90175.0,0,Single,Star,3867.97,2018,1,0
988178,Canada,Quebec,Montreal,Male,College,,1,Single,Star,3871.07,2013,10,0
286114,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3872.22,2016,11,0
205785,Canada,Ontario,Toronto,Male,Master,128118.0,0,Married,Star,3873.65,2016,8,0
735304,Canada,Alberta,Edmonton,Female,Master,128118.0,0,Married,Star,3873.65,2016,12,0
438936,Canada,Quebec,Montreal,Male,Bachelor,94092.0,0,Married,Star,3878.77,2013,10,0
172755,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5303.76,2018,3,0
354730,Canada,New Brunswick,Fredericton,Female,College,,1,Married,Star,3885.46,2014,10,1
413741,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3885.46,2015,7,0
552965,Canada,Quebec,Montreal,Male,College,,1,Married,Star,3885.46,2018,11,0
642313,Canada,Alberta,Edmonton,Male,College,,1,Married,Star,3885.46,2016,3,0
263080,Canada,Alberta,Edmonton,Male,College,,1,Single,Star,3886.5,2014,5,0
109767,Canada,Ontario,Toronto,Female,Bachelor,89062.0,0,Single,Star,3886.65,2016,5,0
217754,Canada,Quebec,Montreal,Female,Bachelor,102400.0,0,Single,Star,3887.32,2015,6,0
157005,Canada,British Columbia,Vancouver,Male,Bachelor,98629.0,0,Married,Star,3890.87,2016,10,0
557752,Canada,Ontario,Toronto,Female,Bachelor,98629.0,0,Married,Star,3890.87,2017,10,0
608758,Canada,Ontario,Ottawa,Male,Bachelor,63795.0,0,Married,Star,3890.96,2013,7,0
599341,Canada,Quebec,Tremblant,Female,Bachelor,54890.0,0,Married,Star,3891.54,2015,11,0
333502,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,3891.58,2014,3,0
201574,Canada,Ontario,Ottawa,Female,Bachelor,51375.0,0,Married,Star,3893.31,2015,4,1
403361,Canada,British Columbia,Vancouver,Male,Bachelor,70222.0,0,Single,Star,3895.03,2017,10,0
543918,Canada,Quebec,Montreal,Male,High School or Below,40736.0,0,Married,Star,3896.57,2012,11,0
806030,Canada,Alberta,Calgary,Female,Bachelor,75861.0,0,Married,Star,3903.47,2018,5,0
119200,Canada,British Columbia,Vancouver,Female,Bachelor,69835.0,0,Divorced,Star,3903.8,2017,5,0
938981,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5337.35,2018,4,0
238119,Canada,Quebec,Montreal,Male,Bachelor,75980.0,0,Married,Star,3906.67,2013,5,0
730388,Canada,Ontario,Thunder Bay,Male,College,,1,Single,Star,3907.03,2012,5,0
834891,Canada,British Columbia,Vancouver,Female,Bachelor,54460.0,0,Married,Star,3911.12,2017,3,1
127400,Canada,British Columbia,Whistler,Female,College,,1,Single,Star,3914.72,2014,6,0
324557,Canada,Quebec,Montreal,Female,College,,1,Single,Star,3914.72,2013,2,0
742002,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3915.8,2016,5,0
536567,Canada,Alberta,Peace River,Male,Bachelor,80697.0,0,Married,Star,3919.37,2016,5,0
704835,Canada,British Columbia,Whistler,Male,Bachelor,80697.0,0,Married,Star,3919.37,2016,9,0
733338,Canada,Ontario,Thunder Bay,Female,Bachelor,80697.0,0,Married,Star,3919.37,2016,6,1
758635,Canada,Quebec,Montreal,Male,Bachelor,80697.0,0,Married,Star,3919.37,2018,6,0
823048,Canada,British Columbia,Vancouver,Male,Bachelor,80697.0,0,Married,Star,3919.37,2018,5,0
